"","participant.id_in_session","subsession.round_number","player.xchoice","player.ychoice","player.consume","player.rollo","group.qx","group.qy","group.price","tre","session","rosa"
"1",1,1,30,301.66,83.5,1,184,1038,5.6,0,101,0
"2",2,1,10,314.64,65.8,1,184,1038,5.6,0,101,0
"3",3,1,55.5,263.05,102.1,1,184,1038,5.6,0,101,0
"4",4,1,61,250.58,594.68,2,184,1038,5.6,0,101,0
"5",5,1,81,185.45,642.45,2,184,1038,5.6,0,101,0
"6",6,1,40,289.83,515.53,2,184,1038,5.6,0,101,0
"7",7,1,86.5,158.67,114.6,1,184,1038,5.6,0,101,0
"8",8,1,2,316.16,327.46,2,184,1038,5.6,0,101,0
"9",1,2,31,300.65,91.5,1,192.5,955.8,5,0,101,0
"10",2,2,31,300.65,454.55,2,192.5,955.8,5,0,101,0
"11",3,2,65,240.31,113.4,1,192.5,955.8,5,0,101,0
"12",4,2,65,240.31,563.01,2,192.5,955.8,5,0,101,0
"13",5,2,55,264.1,537.2,2,192.5,955.8,5,0,101,0
"14",6,2,41.5,287.71,493.81,2,192.5,955.8,5,0,101,0
"15",7,2,95,98.74,114.9,1,192.5,955.8,5,0,101,0
"16",8,2,2.5,316.13,66.2,1,192.5,955.8,5,0,101,0
"17",1,3,28.5,303.11,89.5,1,219,1087.5,5,0,101,0
"18",2,3,56,261.99,108.8,1,219,1087.5,5,0,101,0
"19",3,3,45,282.4,505.9,2,219,1087.5,5,0,101,0
"20",4,3,39.5,290.51,98,1,219,1087.5,5,0,101,0
"21",5,3,68,231.86,114.7,1,219,1087.5,5,0,101,0
"22",6,3,16.5,311.89,393.79,2,219,1087.5,5,0,101,0
"23",7,3,97.5,70.27,554.37,2,219,1087.5,5,0,101,0
"24",8,3,60,252.98,550.88,2,219,1087.5,5,0,101,0
"25",1,4,30.5,301.16,457.76,2,200,1027,5.1,0,101,0
"26",2,4,40,289.83,495.23,2,200,1027,5.1,0,101,0
"27",3,4,30,301.66,455.76,2,200,1027,5.1,0,101,0
"28",4,4,80.5,187.61,117,1,200,1027,5.1,0,101,0
"29",5,4,62.5,246.86,110.6,1,200,1027,5.1,0,101,0
"30",6,4,3.5,316.03,65,1,200,1027,5.1,0,101,0
"31",7,4,48.5,276.55,102.4,1,200,1027,5.1,0,101,0
"32",8,4,99.5,31.58,542.58,2,200,1027,5.1,0,101,0
"33",1,5,27.5,304.04,102.8,1,228,920.8,4,0,101,0
"34",2,5,71,222.69,509.39,2,228,920.8,4,0,101,0
"35",3,5,20,309.84,390.64,2,228,920.8,4,0,101,0
"36",4,5,51.5,271.07,479.07,2,228,920.8,4,0,101,0
"37",5,5,79,193.88,127,1,228,920.8,4,0,101,0
"38",6,5,77,201.77,127,1,228,920.8,4,0,101,0
"39",7,5,85.5,164,509.3,2,228,920.8,4,0,101,0
"40",8,5,71.5,221.08,126.2,1,228,920.8,4,0,101,0
"41",1,6,22,308.48,81,1,187.5,980.4,5.2,0,101,0
"42",2,6,78,197.89,605.69,2,187.5,980.4,5.2,0,101,0
"43",3,6,39.5,290.51,95.1,1,187.5,980.4,5.2,0,101,0
"44",4,6,71,222.69,113.6,1,187.5,980.4,5.2,0,101,0
"45",5,6,57.5,258.72,559.32,2,187.5,980.4,5.2,0,101,0
"46",6,6,50.5,272.94,536.94,2,187.5,980.4,5.2,0,101,0
"47",7,6,86.5,158.67,116.8,1,187.5,980.4,5.2,0,101,0
"48",8,6,1.5,316.19,323.99,2,187.5,980.4,5.2,0,101,0
"49",1,7,28,303.58,511.48,2,97,720.1,7.4,0,101,0
